| CES0000000001 | 2009 |  M12   | 129788 |           |
| CES0000000001 | 2009 |  M11   | 130057 |           |
| CES0000000001 | 2009 |  M10   | 130045 |           |
| CES0000000001 | 2009 |  M09   | 130244 |           |
| CES0000000001 | 2009 |  M08   | 130485 |           |
| CES0000000001 | 2009 |  M07   | 130668 |           |
| CES0000000001 | 2009 |  M06   | 131008 |           |
| CES0000000001 | 2009 |  M05   | 131475 |           |
| CES0000000001 | 2009 |  M04   | 131817 |           |
| CES0000000001 | 2009 |  M03   | 132512 |           |
| CES0000000001 | 2009 |  M02   | 133312 |           |
| CES0000000001 | 2009 |  M01   | 134055 |           |
| CES0000000001 | 2008 |  M12   | 134839 |           |
| CES0000000001 | 2008 |  M11   | 135545 |           |
| CES0000000001 | 2008 |  M10   | 136272 |           |
| CES0000000001 | 2008 |  M09   | 136753 |           |
| CES0000000001 | 2008 |  M08   | 137213 |           |
| CES0000000001 | 2008 |  M07   | 137491 |           |
| CES0000000001 | 2008 |  M06   | 137687 |           |
| CES0000000001 | 2008 |  M05   | 137858 |           |
| CES0000000001 | 2008 |  M04   | 138035 |           |
| CES0000000001 | 2008 |  M03   | 138275 |           |
| CES0000000001 | 2008 |  M02   | 138324 |           |
| CES0000000001 | 2008 |  M01   | 138403 |           |
| CES0000000001 | 2007 |  M12   | 138392 |           |
| CES0000000001 | 2007 |  M11   | 138284 |           |
| CES0000000001 | 2007 |  M10   | 138174 |           |
| CES0000000001 | 2007 |  M09   | 138095 |           |
| CES0000000001 | 2007 |  M08   | 138015 |           |
| CES0000000001 | 2007 |  M07   | 138038 |           |
| CES0000000001 | 2007 |  M06   | 138069 |           |
| CES0000000001 | 2007 |  M05   | 137993 |           |
| CES0000000001 | 2007 |  M04   | 137842 |           |
| CES0000000001 | 2007 |  M03   | 137793 |           |
| CES0000000001 | 2007 |  M02   | 137558 |           |
| CES0000000001 | 2007 |  M01   | 137477 |           |
| CES0000000001 | 2006 |  M12   | 137249 |           |
| CES0000000001 | 2006 |  M11   | 137063 |           |
| CES0000000001 | 2006 |  M10   | 136852 |           |
| CES0000000001 | 2006 |  M09   | 136843 |           |
| CES0000000001 | 2006 |  M08   | 136694 |           |
| CES0000000001 | 2006 |  M07   | 136520 |           |
| CES0000000001 | 2006 |  M06   | 136325 |           |
| CES0000000001 | 2006 |  M05   | 136244 |           |
| CES0000000001 | 2006 |  M04   | 136205 |           |
| CES0000000001 | 2006 |  M03   | 136047 |           |
| CES0000000001 | 2006 |  M02   | 135737 |           |
| CES0000000001 | 2006 |  M01   | 135429 |           |
| CES0000000001 | 2005 |  M12   | 135149 |           |
| CES0000000001 | 2005 |  M11   | 134993 |           |
| CES0000000001 | 2005 |  M10   | 134655 |           |
| CES0000000001 | 2005 |  M09   | 134566 |           |
| CES0000000001 | 2005 |  M08   | 134498 |           |
| CES0000000001 | 2005 |  M07   | 134296 |           |
| CES0000000001 | 2005 |  M06   | 133942 |           |
| CES0000000001 | 2005 |  M05   | 133690 |           |
| CES0000000001 | 2005 |  M04   | 133518 |           |
| CES0000000001 | 2005 |  M03   | 133156 |           |
| CES0000000001 | 2005 |  M02   | 133032 |           |
| CES0000000001 | 2005 |  M01   | 132774 |           |
| CES0000000001 | 2004 |  M12   | 132624 |           |
| CES0000000001 | 2004 |  M11   | 132503 |           |
| CES0000000001 | 2004 |  M10   | 132447 |           |
| CES0000000001 | 2004 |  M09   | 132093 |           |
| CES0000000001 | 2004 |  M08   | 131937 |           |
| CES0000000001 | 2004 |  M07   | 131848 |           |
| CES0000000001 | 2004 |  M06   | 131793 |           |
| CES0000000001 | 2004 |  M05   | 131694 |           |
| CES0000000001 | 2004 |  M04   | 131411 |           |
| CES0000000001 | 2004 |  M03   | 131142 |           |
| CES0000000001 | 2004 |  M02   | 130825 |           |
| CES0000000001 | 2004 |  M01   | 130769 |           |
| CES0000000001 | 2003 |  M12   | 130588 |           |
| CES0000000001 | 2003 |  M11   | 130474 |           |
| CES0000000001 | 2003 |  M10   | 130454 |           |
| CES0000000001 | 2003 |  M09   | 130254 |           |
| CES0000000001 | 2003 |  M08   | 130149 |           |
| CES0000000001 | 2003 |  M07   | 130191 |           |
| CES0000000001 | 2003 |  M06   | 130194 |           |
| CES0000000001 | 2003 |  M05   | 130196 |           |
| CES0000000001 | 2003 |  M04   | 130177 |           |
| CES0000000001 | 2003 |  M03   | 130232 |           |
| CES0000000001 | 2003 |  M02   | 130444 |           |
| CES0000000001 | 2003 |  M01   | 130580 |           |
| CES0000000001 | 2002 |  M12   | 130472 |           |
| CES0000000001 | 2002 |  M11   | 130615 |           |
| CES0000000001 | 2002 |  M10   | 130628 |           |
| CES0000000001 | 2002 |  M09   | 130501 |           |
| CES0000000001 | 2002 |  M08   | 130587 |           |
| CES0000000001 | 2002 |  M07   | 130590 |           |
| CES0000000001 | 2002 |  M06   | 130684 |           |
| CES0000000001 | 2002 |  M05   | 130634 |           |
| CES0000000001 | 2002 |  M04   | 130623 |           |
| CES0000000001 | 2002 |  M03   | 130717 |           |
| CES0000000001 | 2002 |  M02   | 130736 |           |
| CES0000000001 | 2002 |  M01   | 130852 |           |
| CES0000000001 | 2001 |  M12   | 130982 |           |
| CES0000000001 | 2001 |  M11   | 131142 |           |
| CES0000000001 | 2001 |  M10   | 131454 |           |
| CES0000000001 | 2001 |  M09   | 131771 |           |
| CES0000000001 | 2001 |  M08   | 132028 |           |
| CES0000000001 | 2001 |  M07   | 132177 |           |
| CES0000000001 | 2001 |  M06   | 132299 |           |
| CES0000000001 | 2001 |  M05   | 132410 |           |
| CES0000000001 | 2001 |  M04   | 132463 |           |
| CES0000000001 | 2001 |  M03   | 132747 |           |
| CES0000000001 | 2001 |  M02   | 132789 |           |
| CES0000000001 | 2001 |  M01   | 132698 |           |
| CES0000000001 | 2000 |  M12   | 132709 |           |
| CES0000000001 | 2000 |  M11   | 132556 |           |
| CES0000000001 | 2000 |  M10   | 132351 |           |
| CES0000000001 | 2000 |  M09   | 132353 |           |
| CES0000000001 | 2000 |  M08   | 132230 |           |
| CES0000000001 | 2000 |  M07   | 132236 |           |
| CES0000000001 | 2000 |  M06   | 132061 |           |
| CES0000000001 | 2000 |  M05   | 132105 |           |
| CES0000000001 | 2000 |  M04   | 131888 |           |
| CES0000000001 | 2000 |  M03   | 131596 |           |
| CES0000000001 | 2000 |  M02   | 131124 |           |
| CES0000000001 | 2000 |  M01   | 131005 |           |
