| CES0500000002 | 2019 |  M12   |  34.3 |           |
| CES0500000002 | 2019 |  M11   |  34.3 |           |
| CES0500000002 | 2019 |  M10   |  34.4 |           |
| CES0500000002 | 2019 |  M09   |  34.4 |           |
| CES0500000002 | 2019 |  M08   |  34.4 |           |
| CES0500000002 | 2019 |  M07   |  34.4 |           |
| CES0500000002 | 2019 |  M06   |  34.4 |           |
| CES0500000002 | 2019 |  M05   |  34.4 |           |
| CES0500000002 | 2019 |  M04   |  34.4 |           |
| CES0500000002 | 2019 |  M03   |  34.5 |           |
| CES0500000002 | 2019 |  M02   |  34.4 |           |
| CES0500000002 | 2019 |  M01   |  34.5 |           |
| CES0500000002 | 2018 |  M12   |  34.5 |           |
| CES0500000002 | 2018 |  M11   |  34.4 |           |
| CES0500000002 | 2018 |  M10   |  34.5 |           |
| CES0500000002 | 2018 |  M09   |  34.5 |           |
| CES0500000002 | 2018 |  M08   |  34.5 |           |
| CES0500000002 | 2018 |  M07   |  34.5 |           |
| CES0500000002 | 2018 |  M06   |  34.5 |           |
| CES0500000002 | 2018 |  M05   |  34.5 |           |
| CES0500000002 | 2018 |  M04   |  34.5 |           |
| CES0500000002 | 2018 |  M03   |  34.5 |           |
| CES0500000002 | 2018 |  M02   |  34.5 |           |
| CES0500000002 | 2018 |  M01   |  34.4 |           |
| CES0500000002 | 2017 |  M12   |  34.5 |           |
| CES0500000002 | 2017 |  M11   |  34.5 |           |
| CES0500000002 | 2017 |  M10   |  34.4 |           |
| CES0500000002 | 2017 |  M09   |  34.3 |           |
| CES0500000002 | 2017 |  M08   |  34.4 |           |
| CES0500000002 | 2017 |  M07   |  34.4 |           |
| CES0500000002 | 2017 |  M06   |  34.4 |           |
| CES0500000002 | 2017 |  M05   |  34.4 |           |
| CES0500000002 | 2017 |  M04   |  34.4 |           |
| CES0500000002 | 2017 |  M03   |  34.3 |           |
| CES0500000002 | 2017 |  M02   |  34.3 |           |
| CES0500000002 | 2017 |  M01   |  34.4 |           |
| CES0500000002 | 2016 |  M12   |  34.4 |           |
