,SourceElementKey,BlockfaceName,Latitude,Longitude
2964734,35197,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33651591,47.62326784
3300504,79790,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32980982,47.62423318
3221948,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.34090264,47.62666319
3279331,57550,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33162048,47.62367967
3308229,13110,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33705498,47.6214455
3215378,13793,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33049346,47.62025648
3149044,78073,EASTLAKE AVE E BETWEEN REPUBLICAN ST AND MERCER ST,-122.32928164,47.62369838
3021328,56073,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33914567,47.62212606
3279275,12541,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33778176,47.62326711
3208957,33746,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,-122.33109105,47.61959829
3113781,94611,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,-122.33167587,47.62831225
3233790,35890,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,-122.33166834,47.62591864
3267717,80545,REPUBLICAN ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34042507,47.62328513
2995285,34885,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33181611,47.62251895
3266996,120102,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,-122.32938631,47.62823632
2546826,94677,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,-122.33269229,47.62749792
3310187,11786,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33108562,47.6242189
3112223,13142,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.3297844,47.62076448
2546820,55377,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.34251847,47.62379307
3387028,53810,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33965677,47.62387194
3221976,58833,WESTLAKE AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33857409,47.62145672
