,Latitude,Longitude,BlockfaceName,SourceElementKey
0,-122.33650821,47.62473843,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,130802
1,-122.33234469,47.62306574,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,80554
2,-122.32922659,47.6213762,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST,10153
3,-122.32980982,47.62423318,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,79790
4,-122.33168043,47.62602813,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,35889
5,-122.33105357,47.62190148,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,10802
7,-122.32979337,47.61857744,DENNY LOWER WAY BETWEEN STEWART ST AND EASTLAKE AVE,32849
8,-122.33914163,47.62315969,REPUBLICAN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,80550
10,-122.33239874,47.62431963,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,79785
13,-122.33618907,47.61966361,JOHN ST BETWEEN DEAD END AND BOREN AVE N,56362
14,-122.34242449,47.62844616,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,77985
15,-122.33782845,47.61976598,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,56357
16,-122.33576039,47.62028326,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,32122
19,-122.3304927,47.62465974,YALE AVE N BETWEEN MERCER ST AND DEAD END 1,13798
20,-122.34254683,47.61913275,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,55369
22,-122.32929908,47.62470623,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E,10157
23,-122.34221033,47.62148098,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,32910
24,-122.34169801,47.61980198,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,56353
26,-122.32925328,47.61913534,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,78069
27,-122.3416596,47.6270675,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,76718
29,-122.34217596,47.63181807,DEXTER AVE N BETWEEN LEE ST AND GALER ST,32914
30,-122.33106904,47.62432312,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,11785
31,-122.34219059,47.63011566,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,77990
32,-122.32938631,47.62823632,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,120102
34,-122.33257278,47.61973707,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,79033
39,-122.33575104,47.62142529,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,9394
